"Country Name";"Country Code";"Series Name";"Series Code";"YR2020"
"Georgia";"GEO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";69700
"Georgia";"GEO";"Population, total";"SP.POP.TOTL";3722716
"Germany";"DEU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";357590
"Germany";"DEU";"Population, total";"SP.POP.TOTL";83160871
"Ghana";"GHA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";238530
"Ghana";"GHA";"Population, total";"SP.POP.TOTL";32180401
"Gibraltar";"GIB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";10
"Gibraltar";"GIB";"Population, total";"SP.POP.TOTL";32709
"Greece";"GRC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";131960
"Greece";"GRC";"Population, total";"SP.POP.TOTL";10698599
"Greenland";"GRL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";410450
"Greenland";"GRL";"Population, total";"SP.POP.TOTL";56367
"Grenada";"GRD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";340
"Grenada";"GRD";"Population, total";"SP.POP.TOTL";123663
"Guam";"GUM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";540
"Guam";"GUM";"Population, total";"SP.POP.TOTL";169231
"Guatemala";"GTM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";108890
"Guatemala";"GTM";"Population, total";"SP.POP.TOTL";16858333
"Guinea";"GIN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";245860
"Guinea";"GIN";"Population, total";"SP.POP.TOTL";13205153
"Guinea-Bissau";"GNB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";36130
"Guinea-Bissau";"GNB";"Population, total";"SP.POP.TOTL";2015828
"Guyana";"GUY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";214970
"Guyana";"GUY";"Population, total";"SP.POP.TOTL";797202
"Haiti";"HTI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";27750
"Haiti";"HTI";"Population, total";"SP.POP.TOTL";11306801
"Honduras";"HND";"Surface area (sq. km)";"AG.SRF.TOTL.K2";112490
"Honduras";"HND";"Population, total";"SP.POP.TOTL";10121763
"Hong Kong SAR, China";"HKG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1110
"Hong Kong SAR, China";"HKG";"Population, total";"SP.POP.TOTL";7481000
"Hungary";"HUN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";93030
"Hungary";"HUN";"Population, total";"SP.POP.TOTL";9750149
"Iceland";"ISL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";103000
"Iceland";"ISL";"Population, total";"SP.POP.TOTL";366463
"India";"IND";"Surface area (sq. km)";"AG.SRF.TOTL.K2";3287260
"India";"IND";"Population, total";"SP.POP.TOTL";1396387127
"Indonesia";"IDN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1916906,77
"Indonesia";"IDN";"Population, total";"SP.POP.TOTL";271857970
"Iran, Islamic Rep.";"IRN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1745150
"Iran, Islamic Rep.";"IRN";"Population, total";"SP.POP.TOTL";87290193
"Iraq";"IRQ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";435052
"Iraq";"IRQ";"Population, total";"SP.POP.TOTL";42556984
"Ireland";"IRL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";70280
"Ireland";"IRL";"Population, total";"SP.POP.TOTL";4985382
"Isle of Man";"IMN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";570
"Isle of Man";"IMN";"Population, total";"SP.POP.TOTL";84046
"Israel";"ISR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";22070
"Israel";"ISR";"Population, total";"SP.POP.TOTL";9215100
"Italy";"ITA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";302068
"Italy";"ITA";"Population, total";"SP.POP.TOTL";59438851
"Jamaica";"JAM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";10990
"Jamaica";"JAM";"Population, total";"SP.POP.TOTL";2820436
"Japan";"JPN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";377974
"Japan";"JPN";"Population, total";"SP.POP.TOTL";126261000
"Jordan";"JOR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";89318
"Jordan";"JOR";"Population, total";"SP.POP.TOTL";10928721
"Kazakhstan";"KAZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2724900
"Kazakhstan";"KAZ";"Population, total";"SP.POP.TOTL";18755666
"Kenya";"KEN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";580370
"Kenya";"KEN";"Population, total";"SP.POP.TOTL";51985780
"Kiribati";"KIR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";810
"Kiribati";"KIR";"Population, total";"SP.POP.TOTL";126463
"Korea, Dem. People's Rep.";"PRK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";120540
"Korea, Dem. People's Rep.";"PRK";"Population, total";"SP.POP.TOTL";25867467
"Korea, Rep.";"KOR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";100410
"Korea, Rep.";"KOR";"Population, total";"SP.POP.TOTL";51836239
"Kosovo";"XKX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";".."
"Kosovo";"XKX";"Population, total";"SP.POP.TOTL";1790133
"Kuwait";"KWT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";17820
"Kuwait";"KWT";"Population, total";"SP.POP.TOTL";4360444
"Kyrgyz Republic";"KGZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";199950
"Kyrgyz Republic";"KGZ";"Population, total";"SP.POP.TOTL";6579900
"Lao PDR";"LAO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";236800
"Lao PDR";"LAO";"Population, total";"SP.POP.TOTL";7319399
"Latvia";"LVA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";64590
"Latvia";"LVA";"Population, total";"SP.POP.TOTL";1900449
"Lebanon";"LBN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";10450
"Lebanon";"LBN";"Population, total";"SP.POP.TOTL";5662923
"Lesotho";"LSO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";30360
"Lesotho";"LSO";"Population, total";"SP.POP.TOTL";2254100
"Liberia";"LBR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";111370
"Liberia";"LBR";"Population, total";"SP.POP.TOTL";5087584
"Libya";"LBY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1759540
"Libya";"LBY";"Population, total";"SP.POP.TOTL";6653942
"Liechtenstein";"LIE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";160
"Liechtenstein";"LIE";"Population, total";"SP.POP.TOTL";38756
"Lithuania";"LTU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";65290
"Lithuania";"LTU";"Population, total";"SP.POP.TOTL";2794885
"Luxembourg";"LUX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2590
"Luxembourg";"LUX";"Population, total";"SP.POP.TOTL";630419
"Macao SAR, China";"MAC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";32,9
"Macao SAR, China";"MAC";"Population, total";"SP.POP.TOTL";676283
"Madagascar";"MDG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";587295
"Madagascar";"MDG";"Population, total";"SP.POP.TOTL";28225177
"Malawi";"MWI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";118480
"Malawi";"MWI";"Population, total";"SP.POP.TOTL";19377061
"Malaysia";"MYS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";330241
"Malaysia";"MYS";"Population, total";"SP.POP.TOTL";33199993
"Maldives";"MDV";"Surface area (sq. km)";"AG.SRF.TOTL.K2";300
"Maldives";"MDV";"Population, total";"SP.POP.TOTL";514438
"Mali";"MLI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1240190
"Mali";"MLI";"Population, total";"SP.POP.TOTL";21224040
"Malta";"MLT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";320
"Malta";"MLT";"Population, total";"SP.POP.TOTL";515332
"Marshall Islands";"MHL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";180
"Marshall Islands";"MHL";"Population, total";"SP.POP.TOTL";43413
"Mauritania";"MRT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1030700
"Mauritania";"MRT";"Population, total";"SP.POP.TOTL";4498604
"Mauritius";"MUS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2007
"Mauritius";"MUS";"Population, total";"SP.POP.TOTL";1266014
"Mexico";"MEX";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1964375
"Mexico";"MEX";"Population, total";"SP.POP.TOTL";125998302
"Micronesia, Fed. Sts.";"FSM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";700
"Micronesia, Fed. Sts.";"FSM";"Population, total";"SP.POP.TOTL";112106
"Moldova";"MDA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";33850
"Moldova";"MDA";"Population, total";"SP.POP.TOTL";2635130
"Monaco";"MCO";"Surface area (sq. km)";"AG.SRF.TOTL.K2";74,92
"Monaco";"MCO";"Population, total";"SP.POP.TOTL";36922
"Mongolia";"MNG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1564115,749
"Mongolia";"MNG";"Population, total";"SP.POP.TOTL";3294335
"Montenegro";"MNE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";13810
"Montenegro";"MNE";"Population, total";"SP.POP.TOTL";621306
"Morocco";"MAR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";446550
"Morocco";"MAR";"Population, total";"SP.POP.TOTL";36688772
"Mozambique";"MOZ";"Surface area (sq. km)";"AG.SRF.TOTL.K2";799380
"Mozambique";"MOZ";"Population, total";"SP.POP.TOTL";31178239
"Myanmar";"MMR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";676590
"Myanmar";"MMR";"Population, total";"SP.POP.TOTL";53423198
"Namibia";"NAM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";824290
"Namibia";"NAM";"Population, total";"SP.POP.TOTL";2489098
"Nauru";"NRU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20
"Nauru";"NRU";"Population, total";"SP.POP.TOTL";12315
"Nepal";"NPL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";147180
"Nepal";"NPL";"Population, total";"SP.POP.TOTL";29348627
"Netherlands";"NLD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";41540
"Netherlands";"NLD";"Population, total";"SP.POP.TOTL";17441500
"New Caledonia";"NCL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";18580
"New Caledonia";"NCL";"Population, total";"SP.POP.TOTL";271080
"New Zealand";"NZL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";267710
"New Zealand";"NZL";"Population, total";"SP.POP.TOTL";5090200
"Nicaragua";"NIC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";130370
"Nicaragua";"NIC";"Population, total";"SP.POP.TOTL";6755895
"Niger";"NER";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1267000
"Niger";"NER";"Population, total";"SP.POP.TOTL";24333639
"Nigeria";"NGA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";923770
"Nigeria";"NGA";"Population, total";"SP.POP.TOTL";208327405
"North Macedonia";"MKD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";25710
"North Macedonia";"MKD";"Population, total";"SP.POP.TOTL";1856124
"Northern Mariana Islands";"MNP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";460
"Northern Mariana Islands";"MNP";"Population, total";"SP.POP.TOTL";49587
"Norway";"NOR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";624499
"Norway";"NOR";"Population, total";"SP.POP.TOTL";5379475
"Oman";"OMN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";309500
"Oman";"OMN";"Population, total";"SP.POP.TOTL";4543399
"Pakistan";"PAK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";796100
"Pakistan";"PAK";"Population, total";"SP.POP.TOTL";227196741
"Palau";"PLW";"Surface area (sq. km)";"AG.SRF.TOTL.K2";460
"Palau";"PLW";"Population, total";"SP.POP.TOTL";17972
"Panama";"PAN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";75320
"Panama";"PAN";"Population, total";"SP.POP.TOTL";4294396
"Papua New Guinea";"PNG";"Surface area (sq. km)";"AG.SRF.TOTL.K2";462840
"Papua New Guinea";"PNG";"Population, total";"SP.POP.TOTL";9749640
"Paraguay";"PRY";"Surface area (sq. km)";"AG.SRF.TOTL.K2";406752
"Paraguay";"PRY";"Population, total";"SP.POP.TOTL";6618695
"Peru";"PER";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1285220
"Peru";"PER";"Population, total";"SP.POP.TOTL";33304756
"Philippines";"PHL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";300000
"Philippines";"PHL";"Population, total";"SP.POP.TOTL";112190977
"Poland";"POL";"Surface area (sq. km)";"AG.SRF.TOTL.K2";312710
"Poland";"POL";"Population, total";"SP.POP.TOTL";37899070
"Portugal";"PRT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";92230
"Portugal";"PRT";"Population, total";"SP.POP.TOTL";10297081
"Puerto Rico";"PRI";"Surface area (sq. km)";"AG.SRF.TOTL.K2";8870
"Puerto Rico";"PRI";"Population, total";"SP.POP.TOTL";3281557
"Qatar";"QAT";"Surface area (sq. km)";"AG.SRF.TOTL.K2";11490
"Qatar";"QAT";"Population, total";"SP.POP.TOTL";2760385
"Romania";"ROU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";238400
"Romania";"ROU";"Population, total";"SP.POP.TOTL";19265250
"Russian Federation";"RUS";"Surface area (sq. km)";"AG.SRF.TOTL.K2";17098250
"Russian Federation";"RUS";"Population, total";"SP.POP.TOTL";145245148
"Rwanda";"RWA";"Surface area (sq. km)";"AG.SRF.TOTL.K2";26340
"Rwanda";"RWA";"Population, total";"SP.POP.TOTL";13146362
"Samoa";"WSM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2840
"Samoa";"WSM";"Population, total";"SP.POP.TOTL";214929
"San Marino";"SMR";"Surface area (sq. km)";"AG.SRF.TOTL.K2";60
"San Marino";"SMR";"Population, total";"SP.POP.TOTL";34007
"Sao Tome and Principe";"STP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";960
"Sao Tome and Principe";"STP";"Population, total";"SP.POP.TOTL";218641
"Saudi Arabia";"SAU";"Surface area (sq. km)";"AG.SRF.TOTL.K2";2149690
"Saudi Arabia";"SAU";"Population, total";"SP.POP.TOTL";35997107
"Senegal";"SEN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";196710
"Senegal";"SEN";"Population, total";"SP.POP.TOTL";16436120
"Serbia";"SRB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";84990
"Serbia";"SRB";"Population, total";"SP.POP.TOTL";6899126
"Seychelles";"SYC";"Surface area (sq. km)";"AG.SRF.TOTL.K2";460
"Seychelles";"SYC";"Population, total";"SP.POP.TOTL";98462
"Sierra Leone";"SLE";"Surface area (sq. km)";"AG.SRF.TOTL.K2";72300
"Sierra Leone";"SLE";"Population, total";"SP.POP.TOTL";8233970
"Singapore";"SGP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";728
"Singapore";"SGP";"Population, total";"SP.POP.TOTL";5685807
"Sint Maarten (Dutch part)";"SXM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";34
"Sint Maarten (Dutch part)";"SXM";"Population, total";"SP.POP.TOTL";40350
"Slovak Republic";"SVK";"Surface area (sq. km)";"AG.SRF.TOTL.K2";49030
"Slovak Republic";"SVK";"Population, total";"SP.POP.TOTL";5458827
"Slovenia";"SVN";"Surface area (sq. km)";"AG.SRF.TOTL.K2";20480
"Slovenia";"SVN";"Population, total";"SP.POP.TOTL";2102419
"Solomon Islands";"SLB";"Surface area (sq. km)";"AG.SRF.TOTL.K2";28900
"Solomon Islands";"SLB";"Population, total";"SP.POP.TOTL";691191
"Somalia";"SOM";"Surface area (sq. km)";"AG.SRF.TOTL.K2";637660
"Somalia";"SOM";"Population, total";"SP.POP.TOTL";16537016
"South Africa";"ZAF";"Surface area (sq. km)";"AG.SRF.TOTL.K2";1219090
"South Africa";"ZAF";"Population, total";"SP.POP.TOTL";58801927
"South Sudan";"SSD";"Surface area (sq. km)";"AG.SRF.TOTL.K2";646883
"South Sudan";"SSD";"Population, total";"SP.POP.TOTL";10606227
"Spain";"ESP";"Surface area (sq. km)";"AG.SRF.TOTL.K2";505969,891
"Spain";"ESP";"Population, total";"SP.POP.TOTL";47365655
